No.;POI_Name_Arabic;POI_Name_English;Category;Food Type;Phone_Number;Mobile_Number;Street_Name ;District;URL;Latitude;Longitude
13;"محطة أبانمي
";"Abanme Station
";Petrol/Gasoline Station;;;;King Fahd Rd;Al Arid;;24.83512;46.610133
14;"محطة وقود
";Gas Station;Petrol/Gasoline Station;;;;King Fahd Rd;Al Arid;;24.835154;46.610119
33;محطة سهل;Sahel Station;Petrol/Gasoline Station;;00966 9200 10202;;King Fahd Rd;Al Arid;tas-helat.com;24.841304;46.607023
62;محطة السدحان - خط القصيم;Al Sadhan Gas Station;Petrol/Gasoline Station;;;00966 50 009 1032;King Fahd Branch Rd;Al Arid;ascorp.info;24.850675;46.602294
63;محطة خط القصيم;"Qassim Road Station
";Petrol/Gasoline Station;;;00966 55 222 1081;King Fahd Branch Rd;Al Arid;;24.850726;46.602272
69;محطة محروقات  الأتوز;AlATOZ Gas Station;Petrol/Gasoline Station;;;;King Fahd Branch Rd;Al Arid;;24.855532;46.599816
73;محطة بترول;Oil Station;Petrol/Gasoline Station;;;;King Fahd Branch Rd;Al Arid;;24.860124;46.597465
86;محطة شركة الزيت الوطنية;National Oil Company Station;Petrol/Gasoline Station;;;;King Abdulaziz Rd;Al Arid;;24.865666;46.619777
132;محطة الأطلال;"Al - Atlal
 Gas Station";Petrol/Gasoline Station;;;;King Fahd Branch Rd;Al Arid;;24.876824;46.588997
151;محطة وقود;Petrol station;Petrol/Gasoline Station;;;00966 56 023 4806;King Abdulaziz Rd;Al Arid;;24.8916;46.60155
167;"محطة ابو هيثم

";Gas Satation;Petrol/Gasoline Station;;;;King Fahd Rd;Al Arid;;24.881247;46.586743
284;محطة الدريس للوقود;AL-Drees fuel station;Petrol/Gasoline Station;;011 235 6666;;King Abdulaziz Rd;Al Arid;aldrees.com;24.874773;46.615751
370;محطة وقود;Petrol Station;Petrol/Gasoline Station;;;;Prince Saud Ibn Abdullah Ibn Jalawi;Al Arid;;24.857829;46.640673
371;محطة وقود;Petrol station;Petrol/Gasoline Station;;;;Prince Saud Ibn Abdullah Ibn Jalawi;Al Arid;;24.858163;46.640829
